Model,Feature,Posterior_Mean_Coefficient,Lower_95,Upper_95,Selected,Abs_Coefficient,Rank,Regime
Regime Bayesian LASSO - Recovery,Log_Return,-0.7813853072903376,-1.8453410521393074,0.1832739395904534,True,0.7813853072903376,1,Recovery
Regime Bayesian LASSO - Recovery,Daily_Return,0.7687309018177296,-0.20910236000718851,1.8396285303655842,True,0.7687309018177296,2,Recovery
Regime Bayesian LASSO - Recovery,Close_to_EMA_20,-0.5696200181394927,-1.0793778620729526,-0.028644979380267565,True,0.5696200181394927,3,Recovery
Regime Bayesian LASSO - Recovery,Close_to_EMA_10,0.3838204924325842,0.06997191450090663,0.75042538972511,True,0.3838204924325842,4,Recovery
Regime Bayesian LASSO - Recovery,Close_to_SMA_20,0.18963622120217538,-0.05940479389655265,0.46131961169917907,True,0.18963622120217538,5,Recovery
Regime Bayesian LASSO - Recovery,Close_to_SMA_50,0.1481471894233616,-0.05352056872908969,0.349213911120168,True,0.1481471894233616,6,Recovery
Regime Bayesian LASSO - Recovery,Close_to_SMA_10,-0.1058401369538549,-0.2745358408587441,0.05975817980040924,False,0.1058401369538549,7,Recovery
Regime Bayesian LASSO - Recovery,Momentum_10,0.08135947265636298,0.020231334356929247,0.15318993761989377,False,0.08135947265636298,8,Recovery
Regime Bayesian LASSO - Recovery,MACD_Histogram,-0.07938476387491353,-0.4208704194137295,0.2232218655838585,False,0.07938476387491353,9,Recovery
Regime Bayesian LASSO - Recovery,ATR_14,-0.06250248433284308,-0.08859732186071524,-0.0355673465317253,False,0.06250248433284308,10,Recovery
Regime Bayesian LASSO - Recovery,Bollinger_Width,0.04085432181946323,-0.010284953236853887,0.08399963705523085,False,0.04085432181946323,11,Recovery
Regime Bayesian LASSO - Recovery,MACD_Signal,0.040694007472037316,-1.2495680170970407,1.1000098465015409,False,0.040694007472037316,12,Recovery
Regime Bayesian LASSO - Recovery,RSI_14,-0.03731448208087517,-0.10122304435589335,0.027334955541267233,False,0.03731448208087517,13,Recovery
Regime Bayesian LASSO - Recovery,Volatility_20,0.031565406456331865,-0.019161301944831798,0.0782893720454316,False,0.031565406456331865,14,Recovery
Regime Bayesian LASSO - Recovery,ROC_10,-0.02665020145705364,-0.09240302276871491,0.04756044392049786,False,0.02665020145705364,15,Recovery
Regime Bayesian LASSO - Recovery,MACD,-0.014237844731513669,-1.1076496503673576,1.3949633534382686,False,0.014237844731513669,16,Recovery
Regime Bayesian LASSO - Recovery,Normalized_ATR,0.005425404197224024,-0.03640193810057576,0.05039567674268819,False,0.005425404197224024,17,Recovery
Regime Bayesian LASSO - Recovery,OBV_Change,-0.004365561011121773,-0.02716019954346215,0.01726010742294034,False,0.004365561011121773,18,Recovery
Regime Bayesian LASSO - Recovery,Bollinger_Position,0.003513774774997399,-0.058509679641178834,0.06072438906343614,False,0.003513774774997399,19,Recovery
Regime Bayesian LASSO - Recovery,Close_to_EMA_50,0.0026490044301099923,-0.12771411005013614,0.1285892268697405,False,0.0026490044301099923,20,Recovery
Regime Bayesian LASSO - Recovery,Volume_Ratio,-0.001341090303834441,-0.024600346286981708,0.027943406245028887,False,0.001341090303834441,21,Recovery
Regime Bayesian LASSO - Bull,Daily_Return,1.4409250648699685,0.6279142018848556,2.4447052862353646,True,1.4409250648699685,1,Bull
Regime Bayesian LASSO - Bull,Log_Return,-1.418835707301397,-2.418409432459755,-0.6023906073732792,True,1.418835707301397,2,Bull
Regime Bayesian LASSO - Bull,Close_to_EMA_20,1.1706915580814603,0.6250372860308603,1.8315364484668988,True,1.1706915580814603,3,Bull
Regime Bayesian LASSO - Bull,Close_to_EMA_10,-0.5618483408438607,-0.9380692485472315,-0.16853219712786716,True,0.5618483408438607,4,Bull
Regime Bayesian LASSO - Bull,Close_to_SMA_20,-0.36969808493468054,-0.664733436226678,-0.11052864473276532,True,0.36969808493468054,5,Bull
Regime Bayesian LASSO - Bull,Close_to_EMA_50,-0.19085112766275042,-0.34156137424674654,-0.03460838724257567,False,0.19085112766275042,6,Bull
Regime Bayesian LASSO - Bull,Close_to_SMA_50,-0.16305407969314017,-0.3818981638359068,0.03599628360251539,False,0.16305407969314017,7,Bull
Regime Bayesian LASSO - Bull,MACD,-0.09540701446711973,-1.341442280563305,1.2886763168886741,False,0.09540701446711973,8,Bull
Regime Bayesian LASSO - Bull,MACD_Signal,0.08651888483111202,-1.1778547435370408,1.2281853831959244,False,0.08651888483111202,9,Bull
Regime Bayesian LASSO - Bull,Volatility_20,0.08447497673521569,0.029173268904216103,0.14673601019156712,False,0.08447497673521569,10,Bull
Regime Bayesian LASSO - Bull,Close_to_SMA_10,0.06273825874796671,-0.12127024430285033,0.2888305273027023,False,0.06273825874796671,11,Bull
Regime Bayesian LASSO - Bull,Bollinger_Width,-0.05612297895417425,-0.09413954479904924,-0.01960038929031676,False,0.05612297895417425,12,Bull
Regime Bayesian LASSO - Bull,Normalized_ATR,0.028939366772428206,-0.021224856934437267,0.07398347139964863,False,0.028939366772428206,13,Bull
Regime Bayesian LASSO - Bull,ROC_10,-0.022030036390947298,-0.1066816287531203,0.05374087919494513,False,0.022030036390947298,14,Bull
Regime Bayesian LASSO - Bull,Momentum_10,-0.02023708086997762,-0.08362703002291291,0.042336367439358806,False,0.02023708086997762,15,Bull
Regime Bayesian LASSO - Bull,MACD_Histogram,-0.011623074538110276,-0.4068127378517541,0.37399522988394707,False,0.011623074538110276,16,Bull
Regime Bayesian LASSO - Bull,Bollinger_Position,-0.00971106530116607,-0.06879379365859499,0.05346467977575844,False,0.00971106530116607,17,Bull
Regime Bayesian LASSO - Bull,Volume_Ratio,-0.00894029535967589,-0.03412842225096908,0.01602053876070366,False,0.00894029535967589,18,Bull
Regime Bayesian LASSO - Bull,ATR_14,-0.008352476270526848,-0.03505173533398579,0.01791515944390518,False,0.008352476270526848,19,Bull
Regime Bayesian LASSO - Bull,OBV_Change,-0.007999331917088138,-0.029294790304594188,0.018517658160692063,False,0.007999331917088138,20,Bull
Regime Bayesian LASSO - Bull,RSI_14,0.005357265259510037,-0.05343438818556545,0.06568226056187543,False,0.005357265259510037,21,Bull
Regime Bayesian LASSO - Bear,Close_to_EMA_20,-0.539306806943883,-1.1155013730074697,-0.06440767839923638,True,0.539306806943883,1,Bear
Regime Bayesian LASSO - Bear,Log_Return,-0.43036728362095245,-1.1063306678245943,0.09397334071051659,True,0.43036728362095245,2,Bear
Regime Bayesian LASSO - Bear,Close_to_SMA_50,0.40138757689507704,0.22784287295108063,0.5720329511630078,True,0.40138757689507704,3,Bear
Regime Bayesian LASSO - Bear,Daily_Return,0.3994094940280875,-0.12632828252427225,1.096113585889886,True,0.3994094940280875,4,Bear
Regime Bayesian LASSO - Bear,Close_to_SMA_20,0.3834075102291189,0.13308011911560325,0.6708707792005925,True,0.3834075102291189,5,Bear
Regime Bayesian LASSO - Bear,Close_to_EMA_50,-0.34290148403914467,-0.46282061803489605,-0.222560789347592,True,0.34290148403914467,6,Bear
Regime Bayesian LASSO - Bear,MACD_Histogram,-0.10740691109948271,-0.5822774013252988,0.3783659218932949,True,0.10740691109948271,7,Bear
Regime Bayesian LASSO - Bear,Normalized_ATR,0.09865402933041027,0.04098654796915939,0.14687259859007332,True,0.09865402933041027,8,Bear
Regime Bayesian LASSO - Bear,Close_to_SMA_10,0.09055621011740021,-0.08261553277688803,0.29401113127812983,True,0.09055621011740021,9,Bear
Regime Bayesian LASSO - Bear,Momentum_10,0.07812704894784339,0.011024207367798,0.14269985747255068,False,0.07812704894784339,10,Bear
Regime Bayesian LASSO - Bear,Bollinger_Width,-0.06571030954661149,-0.10310398061191939,-0.02941315273155741,False,0.06571030954661149,11,Bear
Regime Bayesian LASSO - Bear,Volatility_20,-0.055167432209590604,-0.10386541256192214,-0.005545532729078239,False,0.055167432209590604,12,Bear
Regime Bayesian LASSO - Bear,MACD_Signal,-0.05243305352752834,-1.3414322711403721,1.1332703968175475,False,0.05243305352752834,13,Bear
Regime Bayesian LASSO - Bear,Bollinger_Position,0.048512786002744515,-0.02080211768435659,0.10597872744304832,False,0.048512786002744515,14,Bear
Regime Bayesian LASSO - Bear,ATR_14,-0.041539780430666036,-0.06432287549098162,-0.020868048720871828,False,0.041539780430666036,15,Bear
Regime Bayesian LASSO - Bear,Volume_Ratio,-0.028383548256130764,-0.054816219837166606,-0.0035842370497997404,False,0.028383548256130764,16,Bear
Regime Bayesian LASSO - Bear,Close_to_EMA_10,0.027834245702270267,-0.2849234928037626,0.3320355489515556,False,0.027834245702270267,17,Bear
Regime Bayesian LASSO - Bear,RSI_14,-0.02231216124222004,-0.08438333056846017,0.03633715101989002,False,0.02231216124222004,18,Bear
Regime Bayesian LASSO - Bear,ROC_10,-0.015747406606383716,-0.0778753471215242,0.0562571126311366,False,0.015747406606383716,19,Bear
Regime Bayesian LASSO - Bear,OBV_Change,0.008731708780751538,-0.014907231158458741,0.03144279161513335,False,0.008731708780751538,20,Bear
Regime Bayesian LASSO - Bear,MACD,-0.006845745183019522,-1.2536848166760381,1.3544505095522223,False,0.006845745183019522,21,Bear
Regime Bayesian LASSO - Crisis,Close_to_EMA_20,0.7772702653763269,0.39617328602022317,1.1534843943887294,True,0.7772702653763269,1,Crisis
Regime Bayesian LASSO - Crisis,Close_to_SMA_20,-0.6110797839657676,-0.8169093418765869,-0.38764111625597886,True,0.6110797839657676,2,Crisis
Regime Bayesian LASSO - Crisis,Close_to_EMA_10,-0.5020211196671335,-0.7802438674217147,-0.21343065917808873,True,0.5020211196671335,3,Crisis
Regime Bayesian LASSO - Crisis,Daily_Return,-0.3398310156858243,-0.7604291150538736,0.058878650041311924,True,0.3398310156858243,4,Crisis
Regime Bayesian LASSO - Crisis,Log_Return,0.33944220926615276,-0.04484327649727047,0.750378697703262,True,0.33944220926615276,5,Crisis
Regime Bayesian LASSO - Crisis,Close_to_EMA_50,-0.3098672637704004,-0.4162246063165087,-0.17875748295356622,True,0.3098672637704004,6,Crisis
Regime Bayesian LASSO - Crisis,Normalized_ATR,0.25354835033182377,0.1821152165486036,0.32986989715736614,True,0.25354835033182377,7,Crisis
Regime Bayesian LASSO - Crisis,Close_to_SMA_50,0.23740528409288109,0.05828307360440245,0.36631147586298085,True,0.23740528409288109,8,Crisis
Regime Bayesian LASSO - Crisis,Volatility_20,-0.18367472952263092,-0.2541623236545466,-0.1225210957185329,True,0.18367472952263092,9,Crisis
Regime Bayesian LASSO - Crisis,ROC_10,0.15595521968892506,0.09560159083512687,0.2114372941381771,True,0.15595521968892506,10,Crisis
Regime Bayesian LASSO - Crisis,MACD_Histogram,0.13144779126616485,-0.27989247934341527,0.548136948093344,True,0.13144779126616485,11,Crisis
Regime Bayesian LASSO - Crisis,MACD_Signal,-0.10332662570471023,-1.2893009963767998,1.1864026551110676,False,0.10332662570471023,12,Crisis
Regime Bayesian LASSO - Crisis,MACD,0.10230179399250047,-1.2141750014849533,1.3556575365022983,False,0.10230179399250047,13,Crisis
Regime Bayesian LASSO - Crisis,Close_to_SMA_10,0.09212198726251929,-0.06020971704815767,0.239034097455771,False,0.09212198726251929,14,Crisis
Regime Bayesian LASSO - Crisis,Momentum_10,-0.07136585976348937,-0.1348374753147417,-0.014964954707790057,False,0.07136585976348937,15,Crisis
Regime Bayesian LASSO - Crisis,Volume_Ratio,-0.06571200826067533,-0.09419205960645605,-0.03891537724871741,False,0.06571200826067533,16,Crisis
Regime Bayesian LASSO - Crisis,Bollinger_Position,0.05325754141911543,-0.004950999905013071,0.11061359565976137,False,0.05325754141911543,17,Crisis
Regime Bayesian LASSO - Crisis,RSI_14,0.04135996154799408,-0.017396485987765532,0.09300556349258413,False,0.04135996154799408,18,Crisis
Regime Bayesian LASSO - Crisis,Bollinger_Width,0.020049386465898253,-0.027026656205780143,0.06104317622476646,False,0.020049386465898253,19,Crisis
Regime Bayesian LASSO - Crisis,ATR_14,-0.01333085599173756,-0.03901857823099559,0.009378408916560001,False,0.01333085599173756,20,Crisis
Regime Bayesian LASSO - Crisis,OBV_Change,-0.007083149432240097,-0.028683363567745947,0.014614589506592262,False,0.007083149432240097,21,Crisis
